moviename,openingdate,sales,attendance,screen,playcount,country,country_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
샌 안드레아스,2015-06-03,14435844152,1716455,847,62016,abroad,1,1417198,action,2,3,PG 12,1,6
007 스펙터,2015-11-11,14301476030,1820760,1105,51940,abroad,1,1691307,action,2,3,PG 15,0,11
콩: 스컬 아일랜드,2017-03-08,13990563383,1689717,984,56425,abroad,1,1689717,action,2,3,PG 12,1,3
주먹왕 랄프 2: 인터넷 속으로,2019-01-03,13877029723,1754375,1453,56412,abroad,1,1027905,animation,6,3,G_rated,2,1
아쿠아맨,2018-12-19,13659344323,1546297,1158,50500,abroad,1,1825151,action,2,3,PG 12,1,12
23 아이덴티티,2017-02-22,13609648135,1675819,952,44104,abroad,1,1012844,fear,12,2,PG 15,0,2
닥터 두리틀,2020-01-08,13449206760,1607082,1290,68634,abroad,1,1607082,comedy,0,1,G_rated,2,1
300: 제국의 부활,2014-03-06,13395159700,1593116,720,54902,abroad,1,1593116,action,2,3,X_rated,3,3
분노의 질주: 더 맥시멈,2013-05-22,13210338042,1790916,657,44371,abroad,1,1523348,action,2,3,PG 15,0,5
어스,2019-03-27,12586771104,1475087,1132,58522,abroad,1,1475087,thriller,11,3,PG 15,0,3
드래곤 길들이기 3,2019-01-30,12346432876,1507922,971,42407,abroad,1,2356796,animation,6,3,G_rated,2,1
분노의 질주: 언리미티드,2011-04-20,12292868000,1621973,457,43329,abroad,1,1523348,action,2,3,PG 15,0,4
말레피센트 2,2019-10-17,12191395690,1444952,1108,63768,abroad,1,1964124,fantasy,3,3,PG 12,1,10
램페이지,2018-04-12,11951980109,1385511,909,55295,abroad,1,1417198,action,2,3,PG 12,1,4
오션스8,2018-06-13,11700157266,1335829,837,55372,abroad,1,971892,action,2,3,PG 12,1,6
로빈 후드,2010-05-13,11560588500,1570681,544,41953,abroad,1,1570681,action,2,3,PG 15,0,5
오블리비언,2013-04-11,11165841500,1515356,634,47871,abroad,1,1515356,action,2,3,PG 15,0,4
가디언즈 오브 갤럭시,2014-07-31,11098239184,1311190,539,22417,abroad,1,1701053,action,2,3,PG 12,1,7
해피 데스데이,2017-11-08,11004455402,1382650,714,52101,abroad,1,1382650,fear,12,2,X_rated,3,11
브이아이피,2017-08-23,10956621835,1373316,996,44650,domestic,0,3081633,crime,5,3,X_rated,3,8
말레피센트,2014-05-29,10776965900,1397526,554,38894,abroad,1,1964124,fantasy,3,3,PG 12,1,5
드라큘라: 전설의 시작,2014-10-08,10607703908,1321751,477,46483,abroad,1,1321751,fantasy,3,3,PG 15,0,10
위대한 개츠비,2013-05-16,10581329643,1445248,562,36008,abroad,1,1445248,drama,4,3,PG 15,0,5
퓨리,2014-11-20,10367640686,1362114,590,37155,abroad,1,1362114,action,2,3,PG 12,1,11
워크래프트: 전쟁의 서막,2016-06-09,10142271205,1163274,736,34087,abroad,1,1220482,action,2,3,PG 12,1,6
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,9784305000,1149628,398,27236,abroad,1,1417198,action,2,3,G_rated,2,1
굿 다이노,2016-01-07,9756167238,1328913,814,33127,abroad,1,1328913,animation,6,3,G_rated,2,1
슈퍼 배드,2010-09-16,9717463000,1027050,338,24577,abroad,1,2175962,animation,6,3,G_rated,2,9
챔피언,2018-05-01,9471138230,1128774,874,47320,domestic,0,1128774,drama,4,1,PG 15,0,5
엘리시움,2013-08-29,9017994500,1207732,588,31515,abroad,1,890696,sf,7,3,X_rated,3,8
장사리 : 잊혀진 영웅들,2019-09-25,8997921050,1140876,1090,47821,domestic,0,1917958,etc,1,3,PG 12,1,9
퍼시픽 림: 업라이징,2018-03-21,8962712795,1077235,1145,49600,abroad,1,1808174,action,2,2,PG 15,0,3
라이트 아웃,2016-08-24,8893059975,1111284,659,34444,abroad,1,1234282,fear,12,3,PG 15,0,8
더 넌,2018-09-19,8777844795,1011580,824,32736,abroad,1,1011580,fear,12,3,PG 15,0,9
스카이스크래퍼,2018-07-11,8612111718,1002858,831,40862,abroad,1,742455,action,2,2,PG 12,1,7
스타워즈: 라스트 제다이,2017-12-14,8535886061,946547,1107,30914,abroad,1,555288,action,2,3,PG 12,1,12
마이펫의 이중생활 2,2019-07-31,8512902825,1114949,933,30858,abroad,1,1311466,animation,6,3,G_rated,2,7
지오스톰,2017-10-19,8480864614,1028384,854,35453,abroad,1,1028384,action,2,3,PG 12,1,10
맨 인 더 다크,2016-10-05,8480368672,1003406,671,40136,abroad,1,1003406,crime,5,3,X_rated,3,10
씽,2016-12-21,8203857789,1063175,795,19645,abroad,1,1063175,animation,6,3,G_rated,2,12
셜록 홈즈,2009-12-23,7787961500,1052059,359,25768,abroad,1,1052059,crime,5,2,PG 12,1,12
미 비포 유,2016-06-01,7663772990,945172,481,28458,abroad,1,945172,romance,10,2,PG 12,1,6
매그니피센트 7,2016-09-14,7633490421,921317,579,27648,abroad,1,921317,action,2,3,PG 15,0,9
타이탄의 분노,2012-03-29,7591124500,893027,535,33580,abroad,1,1100450,action,2,3,PG 12,1,3
본 레거시,2012-09-06,7412233000,1015711,585,31628,abroad,1,1015711,action,2,3,PG 15,0,9
잭 더 자이언트 킬러,2013-02-28,7376481000,956154,507,27115,abroad,1,2233161,adventure,8,3,PG 12,1,2
그것,2017-09-06,7335022607,888836,837,35430,abroad,1,2154087,comedy,0,3,PG 12,1,9
로보캅,2014-02-13,7299641958,979509,627,29686,abroad,1,979509,action,2,3,PG 12,1,2
레전드 오브 타잔,2016-06-29,7196970717,858402,593,28021,abroad,1,2946451,action,2,3,PG 12,1,6
