moviename,openingdate,attendance,screen,playcount,director,actor,openingmonth,country_abroad,country_domestic,distributor_etc_distributor,distributor_major_abroad,distributor_major_domestic,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_drama,genre_etc,genre_fantasy,genre_fear,genre_mystery,genre_romance,genre_sf,genre_thriller,filmrank_G_rated,filmrank_PG 12,filmrank_PG 15,filmrank_X_rated,sales
라이온 킹,2019-07-17,4743264,1936,126496,3141537,3,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41519457430
남산의 부장들,2020-01-22,4750345,1659,140051,2977866,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,41225216650
어메이징 스파이더맨,2012-06-28,4853123,1118,92755,4510738,2,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41163951235
킹스맨: 골든 서클,2017-09-27,4945484,1687,95922,4536339,3,9,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40987484736
봉오동 전투,2019-08-07,4787538,1476,107030,3723063,3,8,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40588648538
의형제,2010-02-04,5416812,569,118243,6849425,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40153729000
마스터,2016-12-21,4935320,1501,70786,4935320,3,12,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,39784641065
마션,2015-10-08,4880800,1132,114183,4880800,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,39663145295
숨바꼭질,2013-08-14,5604103,779,88062,5604103,3,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,39602977500
나쁜 녀석들: 더 무비,2019-09-11,4573902,1511,113938,2714941,3,9,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,39560195124
히말라야,2015-12-16,5129409,1095,81042,5951226,2,12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,39469775448
감시자들,2013-07-03,5508017,949,100309,5508017,3,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,39380162179
신비한 동물사전,2016-11-16,4662534,1431,115676,2946451,3,11,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,39300515858
토르: 라그나로크,2017-10-25,4853778,1640,137423,2482957,3,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39227691395
