moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
쥬만지: 새로운 세계,2018-01-03,13814824864,1708672,791,41806,abroad,1,etc_distributor,2,1381817,3,PG 12,1,1
아쿠아맨,2018-12-19,13659344323,1546297,1158,50500,abroad,1,major_abroad,1,1825151,3,PG 12,1,12
300: 제국의 부활,2014-03-06,13395159700,1593116,720,54902,abroad,1,major_abroad,1,1593116,3,X_rated,3,3
창궐,2018-10-25,13275772490,1599290,1351,60687,domestic,0,major_domestic,0,4289071,2,PG 15,0,10
분노의 질주: 더 맥시멈,2013-05-22,13210338042,1790916,657,44371,abroad,1,major_abroad,1,1523348,3,PG 15,0,5
스타트렉 다크니스,2013-05-30,12964828000,1605271,607,40504,abroad,1,major_domestic,0,1346973,3,PG 12,1,5
전설의 주먹,2013-04-10,12777314500,1744585,724,57593,domestic,0,major_domestic,0,1989220,3,X_rated,3,4
인디펜던스 데이 : 리써전스,2016-06-22,12770879840,1500830,926,47432,abroad,1,etc_distributor,2,965055,3,PG 12,1,6
더 폰,2015-10-22,12309164568,1593694,794,53599,domestic,0,major_domestic,0,1593694,3,PG 15,0,10
분노의 질주: 언리미티드,2011-04-20,12292868000,1621973,457,43329,abroad,1,major_abroad,1,1523348,3,PG 15,0,4
램페이지,2018-04-12,11951980109,1385511,909,55295,abroad,1,major_abroad,1,1417198,3,PG 12,1,4
신들의 전쟁,2011-11-10,11726682000,1338411,525,46169,abroad,1,major_domestic,0,1338411,3,X_rated,3,11
오션스8,2018-06-13,11700157266,1335829,837,55372,abroad,1,major_abroad,1,971892,3,PG 12,1,6
무적자,2010-09-16,11629780500,1546132,412,46186,domestic,0,major_domestic,0,1343677,3,PG 15,0,9
로빈 후드,2010-05-13,11560588500,1570681,544,41953,abroad,1,major_abroad,1,1570681,3,PG 15,0,5
오블리비언,2013-04-11,11165841500,1515356,634,47871,abroad,1,major_abroad,1,1515356,3,PG 15,0,4
