moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
명탐정 코난 : 침묵의 15분,2011-08-03,4212992000,644652,275,12017,abroad,1,etc_distributor,2,499714,2,G_rated,2,8
다이노소어 어드벤처 3D,2013-12-19,4140930000,507164,464,8994,abroad,1,etc_distributor,2,507164,3,G_rated,2,12
백설공주,2012-05-03,4097396000,585473,386,20746,abroad,1,major_domestic,0,585473,3,G_rated,2,5
아이스 에이지: 지구 대충돌,2016-07-20,4092484600,553760,580,13018,abroad,1,etc_distributor,2,553760,3,G_rated,2,7
메리와 마녀의 꽃,2017-12-07,4064280239,535331,751,21383,abroad,1,etc_distributor,2,800649,2,G_rated,2,12
명탐정 코난: 천공의 난파선,2010-07-21,4002088500,618420,235,11902,abroad,1,etc_distributor,2,504145,3,G_rated,2,7
극장판 요괴워치: 탄생의 비밀이다냥!,2015-07-22,3888539100,550924,509,11765,abroad,1,major_domestic,0,440824,3,G_rated,2,7
페르디난드,2018-01-03,3854216500,533776,698,13789,abroad,1,etc_distributor,2,648296,1,G_rated,2,1
명탐정 코난: 순흑의 악몽,2016-08-03,3766157500,508869,447,7983,abroad,1,major_domestic,0,499714,3,PG 12,1,8
너의 췌장을 먹고 싶어,2017-10-25,3703660800,465265,218,16849,abroad,1,major_domestic,0,465265,2,PG 12,1,10
스파이 지니어스,2020-01-22,3699691180,450932,712,22244,abroad,1,major_abroad,1,450932,2,G_rated,2,1
도라에몽 : 스탠 바이 미,2015-02-12,3684756429,503968,432,13063,abroad,1,major_domestic,0,503968,3,G_rated,2,2
카 2,2011-07-20,3681072000,465599,379,11690,abroad,1,etc_distributor,2,465599,2,G_rated,2,7
그린치,2018-12-19,3675441950,485064,724,10998,abroad,1,major_abroad,1,485064,2,G_rated,2,12
눈의 여왕 2: 트롤의 마법거울,2014-12-24,3623421700,498320,479,6508,abroad,1,etc_distributor,2,432381,2,G_rated,2,12
카3: 새로운 도전,2017-07-13,3599544501,487916,800,14906,abroad,1,major_abroad,1,487916,3,G_rated,2,7
앨빈과 슈퍼밴드2,2009-12-30,3411479000,511322,244,14053,abroad,1,etc_distributor,2,511322,3,G_rated,2,12
명탐정 코난: 11번째 스트라이커,2012-07-19,3363777000,524914,350,10687,abroad,1,major_domestic,0,499714,3,PG 12,1,7
명탐정 코난 : 화염의 해바라기,2015-08-05,3296031400,471205,433,8877,abroad,1,major_domestic,0,499714,3,G_rated,2,8
넛잡: 땅콩 도둑들,2014-01-29,3283691800,478993,382,10817,domestic,0,etc_distributor,2,478993,3,G_rated,2,1
앨빈과 슈퍼밴드3,2011-12-15,3279645000,496560,327,9584,abroad,1,etc_distributor,2,1360205,3,G_rated,2,12
명탐정 코난:진홍의 연가,2017-08-02,3268917200,450043,582,9763,abroad,1,major_domestic,0,499714,3,PG 12,1,8
터닝메카드W: 블랙미러의 부활,2017-01-18,3215588500,429933,570,14146,domestic,0,etc_distributor,2,429933,3,G_rated,2,1
겨울왕국 2,2019-11-21,3214172730,378728,665,16777,abroad,1,major_abroad,1,5337414,2,G_rated,2,11
어린왕자,2015-12-23,3195586794,428855,494,8384,abroad,1,etc_distributor,2,428855,3,G_rated,2,12
극장판 공룡메카드: 타이니소어의 섬,2019-01-10,3140220420,410132,763,15121,domestic,0,major_domestic,0,613839,3,G_rated,2,1
스머프: 비밀의 숲,2017-04-28,3122661000,427764,607,10658,abroad,1,etc_distributor,2,427764,3,G_rated,2,4
