moviename,openingdate,sales,attendance,screen,playcount,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
빅 히어로,2015-01-21,21993119765,2801949,825,62229,major_abroad,1,2801949,animation,6,3,G_rated,2,1
미스 페레그린과 이상한 아이들의 집,2016-09-28,21841214586,2718158,904,70451,etc_distributor,2,1215268,fantasy,3,3,PG 12,1,9
타이탄,2010-04-01,21796996500,2642483,694,87911,major_abroad,1,3721359,romance,10,2,PG 15,0,4
호빗: 뜻밖의 여정,2012-12-13,21724069066,2605124,1028,44977,major_abroad,1,1682629,fantasy,3,3,PG 12,1,12
메이즈 러너: 스코치 트라이얼,2015-09-16,21596946349,2744413,804,58725,etc_distributor,2,2618857,action,2,3,PG 12,1,9
정글북,2016-06-09,21517647134,2537438,924,59041,major_abroad,1,2537438,animation,6,2,G_rated,2,6
레드: 더 레전드,2013-07-18,21511371970,3004649,739,55733,major_domestic,0,3004649,action,2,3,PG 15,0,7
트랜스포머: 최후의 기사,2017-06-21,21501959228,2614601,1739,87234,major_domestic,0,5231726,action,2,3,PG 12,1,6
메이즈 러너,2014-09-18,21489367677,2812427,655,71048,etc_distributor,2,2618857,action,2,3,PG 12,1,9
솔트,2010-07-29,21360288000,2869938,556,53679,etc_distributor,2,2869938,action,2,1,PG 15,0,7
제이슨 본,2016-07-27,21253434663,2611966,827,39806,major_abroad,1,1604184,action,2,3,PG 15,0,7
신비한 동물들과 그린델왈드의 범죄,2018-11-14,20816583118,2414062,1601,76846,major_abroad,1,2946451,adventure,8,3,PG 12,1,11
도리를 찾아서,2016-07-06,20703899933,2601734,1091,55110,major_abroad,1,1719930,animation,6,3,G_rated,2,7
혹성탈출: 진화의 시작,2011-08-17,20629757000,2773794,514,61229,etc_distributor,2,2773794,action,2,3,PG 12,1,8
퍼시픽 림,2013-07-11,20477374512,2539113,1005,55655,major_abroad,1,1808174,action,2,2,PG 15,0,7
터미네이터: 다크 페이트,2019-10-30,20153895830,2409062,1315,81336,major_abroad,1,2409062,sf,7,3,PG 15,0,10
레디 플레이어 원,2018-03-28,19933108071,2254430,1079,77173,major_abroad,1,1107519,action,2,3,PG 12,1,3
레미제라블,2012-12-19,19635813500,2707479,592,49348,major_abroad,1,2707479,drama,4,3,PG 15,0,12
맘마미아!2,2018-08-08,19607520003,2293884,750,59060,major_abroad,1,2293884,etc,1,3,PG 12,1,8
미션임파서블:고스트프로토콜,2011-12-15,19536876000,2533735,697,53514,major_domestic,0,1944199,action,2,2,PG 15,0,12
마이펫의 이중생활,2016-08-03,19406436655,2520670,726,39653,major_abroad,1,1311466,animation,6,3,G_rated,2,8
나우 유 씨 미 : 마술사기단,2013-08-22,19146691869,2718227,691,54658,major_domestic,0,2718227,crime,5,3,PG 12,1,8
엑스맨: 퍼스트 클래스,2011-06-02,19075363000,2533852,587,56827,etc_distributor,2,4536339,sf,7,3,PG 12,1,6
보스 베이비,2017-05-03,18936306704,2452245,1116,48379,major_domestic,0,1663938,animation,6,3,G_rated,2,5
브레이킹 던 part2,2012-11-15,18909583065,2654817,665,56995,major_domestic,0,1476866,drama,4,3,PG 15,0,11
배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,18906246428,2256913,1709,95669,major_abroad,1,1631960,action,2,3,PG 12,1,3
메이즈 러너: 데스 큐어,2018-01-17,18902873104,2299732,1090,58918,etc_distributor,2,2618857,action,2,3,PG 12,1,1
알리타: 배틀 엔젤,2019-02-05,18571455667,1952063,1043,52666,major_abroad,1,1952063,action,2,3,PG 12,1,2
스파이,2015-05-21,18417637358,2318748,665,62960,etc_distributor,2,5866190,action,2,3,PG 12,1,5
테넷,2020-08-26,18396929850,1992214,2228,164758,major_abroad,1,3583005,action,2,3,PG 12,1,8
로건,2017-03-01,18391060223,2169109,954,68709,major_abroad,1,2169109,comedy,0,3,PG 12,1,3
모아나,2017-01-12,18056417307,2310206,953,53162,major_abroad,1,2310206,animation,6,3,G_rated,2,1
장화신은 고양이,2012-01-12,17602643500,2080445,593,45451,major_domestic,0,2080445,animation,6,2,G_rated,2,1
테이큰 2,2012-09-27,17581098553,2308596,682,51344,etc_distributor,2,1589298,action,2,3,X_rated,3,9
007 스카이폴,2012-10-26,17487213000,2376145,748,51357,major_abroad,1,1691307,action,2,3,PG 15,0,10
원더 우먼,2017-05-31,17468588886,2165401,1034,57818,major_abroad,1,1278193,action,2,3,PG 12,1,5
겟 아웃,2017-05-17,17431830075,2138174,945,56530,major_abroad,1,2138174,action,2,2,X_rated,3,5
맨 오브 스틸,2013-06-13,17092964063,2182227,998,55514,major_abroad,1,1631960,action,2,3,PG 12,1,6
해리 포터와 죽음의 성물1,2010-12-15,16974636000,2396988,717,40463,major_abroad,1,2946451,action,2,3,G_rated,2,12
혹성탈출: 종의 전쟁,2017-08-15,16854482778,2051315,1017,44543,etc_distributor,2,3026937,action,2,3,PG 12,1,8
나잇&데이,2010-06-24,16777869600,2243484,494,54797,etc_distributor,2,2243484,comedy,0,1,X_rated,3,6
호빗: 스마우그의 폐허,2013-12-12,16564184549,2115878,811,35223,major_abroad,1,1682629,fantasy,3,3,PG 12,1,12
배틀쉽,2012-04-11,16545921500,2241687,736,53109,major_abroad,1,2241687,action,2,3,PG 12,1,4
루시,2014-09-03,16468076039,1974893,641,44585,major_abroad,1,1974893,sf,7,2,PG 15,0,9
걸리버 여행기,2011-01-27,16441365500,1762071,527,41181,etc_distributor,2,1224440,adventure,8,3,G_rated,2,1
컨저링,2013-09-17,16353225777,2262758,563,48616,major_abroad,1,2262758,fear,12,3,PG 15,0,9
인투 더 스톰,2014-08-28,16157166332,2078698,585,45899,major_abroad,1,1167945,action,2,3,PG 12,1,8
레버넌트: 죽음에서 돌아온 자,2016-01-14,16107360130,2007188,967,55063,etc_distributor,2,2007188,adventure,8,3,PG 15,0,1
논스톱,2014-02-27,16066549940,2084482,582,58217,major_domestic,0,2084482,action,2,2,PG 15,0,2
토르: 천둥의 신,2011-04-28,15985737000,1694562,496,45188,major_domestic,0,961906,fantasy,3,3,PG 12,1,4
수어사이드 스쿼드,2016-08-03,15874111188,1898220,823,29512,major_abroad,1,1898220,action,2,3,X_rated,3,8
라이프 오브 파이,2013-01-01,15812506500,1588373,392,32722,etc_distributor,2,987857,adventure,8,2,G_rated,2,1
컨저링 2,2016-06-09,15759374229,1928605,640,45816,major_abroad,1,1825151,fear,12,3,PG 15,0,6
애나벨 : 인형의 주인,2017-08-10,15527492238,1934270,1006,35103,major_abroad,1,1234282,fear,12,3,PG 15,0,8
노아,2014-03-20,15514373500,2026594,952,56722,major_domestic,0,2026594,animation,6,3,G_rated,2,3
테이큰 3,2015-01-01,15088105000,1860934,616,38060,etc_distributor,2,1589298,action,2,3,PG 15,0,1
이클립스,2010-07-07,14945720000,2069246,535,46355,major_domestic,0,2069246,fantasy,3,3,PG 12,1,7
저스티스 리그,2017-11-15,14629677795,1786383,1308,73390,major_abroad,1,1631960,action,2,3,PG 12,1,11
레지던트 이블 4: 끝나지 않은 전쟁 3D,2010-09-16,14533948000,1190008,337,37849,etc_distributor,2,845717,action,2,1,X_rated,3,9
페르시아의 왕자: 시간의 모래,2010-05-27,14483501000,1970823,567,51307,etc_distributor,2,1970823,action,2,3,PG 12,1,5
지.아이.조 2,2013-03-28,14457048500,1855917,766,62627,major_domestic,0,1875958,action,2,3,PG 15,0,3
