moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
해리포터와 죽음의 성물2,2011-07-13,34507600000,4400270,757,70380,abroad,1,major_abroad,1,2946451,adventure,8,3,G_rated,2,7
내 아내의 모든 것,2012-05-17,34223620500,4598821,563,91773,domestic,0,major_domestic,0,1590719,romance,10,3,PG 15,0,5
데드풀 2,2018-05-16,34185664639,3784602,1576,113288,abroad,1,etc_distributor,2,3586444,sf,7,3,PG 12,1,5
베놈,2018-10-03,34100211207,3888096,1308,116149,abroad,1,etc_distributor,2,3888096,action,2,2,PG 15,0,10
판도라,2016-12-07,33955398164,4313864,1184,90758,domestic,0,major_domestic,0,4414848,drama,4,3,PG 12,1,12
반도,2020-07-15,33072531280,3812250,2575,199048,domestic,0,major_domestic,0,5455944,action,2,2,PG 15,0,7
암수살인,2018-10-03,32995138548,3789321,1177,126127,domestic,0,major_domestic,0,2060633,crime,5,2,PG 15,0,10
매드 맥스: 분노의 도로,2015-05-14,32912842162,3843343,799,98824,abroad,1,major_abroad,1,3843343,action,2,3,PG 15,0,5
아이언맨 2,2010-04-29,32635195500,4425003,921,87665,abroad,1,major_domestic,0,3141537,sf,7,3,PG 12,1,4
타짜-신의 손,2014-09-03,32373120927,4015361,890,80584,domestic,0,major_domestic,0,2637086,drama,4,3,X_rated,3,9
분노의 질주: 홉스&쇼,2019-08-14,32241767793,3657536,1311,94896,abroad,1,major_abroad,1,3586444,action,2,3,PG 12,1,8
연가시,2012-07-05,32175400664,4515833,759,71928,domestic,0,major_domestic,0,4414848,drama,4,3,PG 15,0,7
캡틴 아메리카: 윈터 솔져,2014-03-26,31711040385,3963251,1106,110109,abroad,1,major_abroad,1,3963251,action,2,3,PG 15,0,3
혹성탈출: 반격의 서막,2014-07-10,31514053095,4002560,956,72881,abroad,1,etc_distributor,2,3026937,action,2,3,PG 12,1,7
쿵푸팬더3,2016-01-28,31340798156,3984812,1365,97404,abroad,1,major_domestic,0,4523766,animation,6,3,G_rated,2,1
꾼,2017-11-22,31312029795,4018035,1314,117398,domestic,0,major_domestic,0,4018035,crime,5,3,PG 15,0,11
남한산성,2017-10-03,31225083792,3849087,1229,71101,domestic,0,major_domestic,0,5723297,drama,4,3,PG 15,0,10
그래비티,2013-10-17,31214018600,3194693,636,80584,abroad,1,major_abroad,1,1626521,sf,7,2,PG 12,1,10
국가부도의 날,2018-11-28,30845862137,3747952,1180,100804,domestic,0,major_domestic,0,2253073,drama,4,3,PG 12,1,11
미이라,2017-06-06,30504689978,3689325,1257,105228,abroad,1,major_abroad,1,3689325,action,2,2,PG 12,1,6
조선명탐정 : 사라진 놉의 딸,2015-02-11,30456879428,3872015,825,80499,domestic,0,major_domestic,0,3700803,comedy,0,3,PG 12,1,2
82년생 김지영,2019-10-23,30298542310,3678156,1486,145441,domestic,0,major_domestic,0,3678156,drama,4,2,PG 12,1,10
건축학개론,2012-03-22,30222696000,4111068,593,106067,domestic,0,major_domestic,0,4111068,romance,10,3,PG 12,1,3
댄싱퀸,2012-01-18,30130775500,4058225,544,80987,domestic,0,major_domestic,0,5951226,comedy,0,2,PG 12,1,1
분노의 질주: 더 익스트림,2017-04-12,29981156348,3653238,1469,113241,abroad,1,major_abroad,1,2252577,action,2,3,PG 15,0,4
역린,2014-04-30,29894266890,3849552,1054,83296,domestic,0,major_domestic,0,4571493,drama,4,3,PG 15,0,4
너의 이름은.,2017-01-04,29251793156,3637608,947,82978,abroad,1,etc_distributor,2,1848288,animation,6,2,PG 12,1,1
악인전,2019-05-15,29133760150,3364712,1307,97351,domestic,0,etc_distributor,2,1873097,crime,5,3,X_rated,3,5
돈,2019-03-20,28870244062,3389125,1431,120809,domestic,0,major_domestic,0,1917918,comedy,0,3,PG 15,0,3
신의 한 수,2014-07-03,28812027456,3566852,794,77109,domestic,0,major_domestic,0,2862144,crime,5,3,PG 15,0,7
토이 스토리 4,2019-06-20,28758452040,3400034,1336,85875,abroad,1,major_abroad,1,3400034,animation,6,3,G_rated,2,6
인턴,2015-09-24,28517727148,3610564,659,81552,abroad,1,major_abroad,1,1922323,comedy,0,2,PG 12,1,9
박수건달,2013-01-09,28343986569,3893216,603,60585,domestic,0,major_domestic,0,3893216,comedy,0,3,PG 15,0,1
코코,2018-01-11,27685479440,3510017,1177,85925,abroad,1,major_abroad,1,2484441,animation,6,3,G_rated,2,1
데드풀,2016-02-17,27595618651,3317196,1036,82521,abroad,1,major_abroad,1,3586444,sf,7,3,PG 12,1,2
그것만이 내 세상,2018-01-17,27450805382,3419339,956,95431,domestic,0,major_domestic,0,2154087,comedy,0,3,PG 12,1,1
맨 인 블랙 3,2012-05-24,27301520070,3379762,770,69538,abroad,1,etc_distributor,2,3379762,action,2,3,PG 12,1,5
캐리비안의 해적: 낯선 조류,2011-05-19,27279967500,3130046,960,67036,abroad,1,etc_distributor,2,1223870,fantasy,3,3,PG 12,1,5
귀향,2016-02-24,27249738990,3587173,876,90286,domestic,0,etc_distributor,2,1834886,drama,4,3,PG 15,0,2
마녀,2018-06-27,27242029463,3189091,1117,90843,domestic,0,major_abroad,1,3081633,mystery,9,3,PG 15,0,6
비긴 어게인,2014-08-13,27098834504,3427524,525,82684,abroad,1,etc_distributor,2,1994157,drama,4,3,PG 15,0,8
드래곤 길들이기,2010-05-20,27040606000,2562412,563,57264,abroad,1,major_domestic,0,2356796,animation,6,3,G_rated,2,5
끝까지 간다,2014-05-29,27007303900,3450305,645,84875,domestic,0,major_domestic,0,4289071,crime,5,2,PG 15,0,5
탐정: 리턴즈,2018-06-13,26909459678,3152872,1137,107907,domestic,0,major_domestic,0,2152990,comedy,0,3,PG 15,0,6
