moviename,openingdate,sales,attendance,screen,playcount,country,distributor,director,genre,actor,filmrank
다크 나이트 라이즈,2012.7.19,47644838000,6396528,1210,81254,미국,워너브러더스 코리아(주),크리스토퍼 놀란,액션,"크리스찬 베일(브루스 웨인 / 배트맨), 마이클 케인(알프레드), 게리 올드만(짐 고든)",[국내] 15세 관람가 [해외] PG-13
닥터 스트레인지,2016.10.26,47481830396,5446239,1503,162856,미국,월트디즈니컴퍼니코리아(주),샘 레이미,액션,"베네딕트 컴버배치(닥터 스트레인지), 엘리자베스 올슨(완다 막시모프 / 스칼렛 위치)",
앤트맨과 와스프,2018.7.4,47468053685,5448134,1775,148244,미국,월트디즈니컴퍼니코리아 유한책임회사,페이튼 리드,액션,"폴 러드(스캇 랭 / 앤트맨), 에반젤린 릴리(호프 반 다인 / 와스프), 마이클 더글라스(행크 핌 박사)",[국내] 12세 관람가
신과함께-죄와 벌,2017.12.20,47355583705,5872007,1644,121961,한국,롯데쇼핑㈜롯데엔터테인먼트,김용화,판타지,"하정우(강림), 차태현(자홍), 주지훈(해원맥)",[국내] 12세 관람가
아저씨,2010.8.4,47101332000,6178248,501,109853,한국,CJ ENM,이정범,액션,"원빈(차태식), 김새론(소미)",[국내] 청소년 관람불가
늑대소년,2012.10.31,46590107000,6654390,854,109069,한국,(주)씨제이이엔엠,조성희,멜로/로맨스,"송중기(늑대소년), 박보영(순이)",[국내] 15세 관람가
안시성,2018.9.19,46335334026,5440186,1540,110439,한국,(주)넥스트엔터테인먼트월드(NEW),김광식,액션,"조인성(양만춘), 남주혁(사물), 박성웅(이세민)",[국내] 12세 관람가
블랙 팬서,2018.2.14,45885123957,5399227,1620,119170,미국,월트디즈니컴퍼니코리아 유한책임회사,라이언 쿠글러,액션,채드윅 보스만(티찰라 / 블랙 팬서),[국내] 12세 관람가 [해외] PG-13
연평해전,2015.6.24,45563228330,6043784,1013,114450,한국,(주)넥스트엔터테인먼트월드(NEW),김학순,드라마,"김무열(윤영하), 진구(한상국), 이현우(박동혁)",[국내] 12세 관람가
조커,2019.10.2,45381075450,5247874,1418,147380,미국,워너브러더스 코리아(주),토드 필립스,스릴러,호아킨 피닉스(아서 플렉 / 조커),[국내] 15세 관람가
