영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
판도라,2016.12.7,33955398164.0,"4,313,864","1,184","90,758",한국,(주)넥스트엔터테인먼트월드(NEW)
반도,2020.7.15,33072531280.0,"3,812,250","2,575","199,048",한국,(주)넥스트엔터테인먼트월드(NEW)
암수살인,2018.10.3,32995138548.0,"3,789,321","1,177","126,127",한국,(주)쇼박스
매드 맥스: 분노의 도로,2015.5.14,32912842162.0,"3,843,343",799,"98,824","미국,호주",워너브러더스 코리아(주)
아이언맨 2,2010.4.29,32635195500.0,"4,425,003",921,"87,665",미국,CJ ENM
타짜-신의 손,2014.9.3,32373120927.0,"4,015,361",890,"80,584",한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
분노의 질주: 홉스&쇼,2019.8.14,32241767793.0,"3,657,536","1,311","94,896",미국,유니버설픽쳐스인터내셔널 코리아(유)
연가시,2012.7.5,32175400664.0,"4,515,833",759,"71,928",한국,(주)씨제이이엔엠
캡틴 아메리카: 윈터 솔져,2014.3.26,31711040385.0,"3,963,251","1,106","110,109",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
혹성탈출: 반격의 서막,2014.7.10,31514053095.0,"4,002,560",956,"72,881",미국,이십세기폭스코리아(주)
쿵푸팬더3,2016.1.28,31340798156.0,"3,984,812","1,365","97,404",미국,(주)씨제이이엔엠
꾼,2017.11.22,31312029795.0,"4,018,035","1,314","117,398",한국,(주)쇼박스
남한산성,2017.10.3,31225083792.0,"3,849,087","1,229","71,101",한국,(주)씨제이이엔엠
그래비티,2013.10.17,31214018600.0,"3,194,693",636,"80,584",미국,"(주)스튜디오디에이치엘,주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
국가부도의 날,2018.11.28,30845862137.0,"3,747,952","1,180","100,804",한국,(주)씨제이이엔엠
미이라,2017.6.6,30504689978.0,"3,689,325","1,257","105,228",미국,유니버설픽쳐스인터내셔널 코리아(유)
조선명탐정 : 사라진 놉의 딸,2015.2.11,30456879428.0,"3,872,015",825,"80,499",한국,(주)쇼박스
82년생 김지영,2019.10.23,30298542310.0,"3,678,156","1,486","145,441",한국,롯데컬처웍스(주)롯데엔터테인먼트
건축학개론,2012.3.22,30222696000.0,"4,111,068",593,"106,067",한국,롯데쇼핑㈜롯데엔터테인먼트
댄싱퀸,2012.1.18,30130775500.0,"4,058,225",544,"80,987",한국,(주)씨제이이엔엠
분노의 질주: 더 익스트림,2017.4.12,29981156348.0,"3,653,238","1,469","113,241","미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
역린,2014.4.30,29894266890.0,"3,849,552","1,054","83,296",한국,롯데쇼핑㈜롯데엔터테인먼트
너의 이름은.,2017.1.4,29251793156.0,"3,637,608",947,"82,978",일본,메가박스중앙(주)플러스엠
악인전,2019.5.15,29133760150.0,"3,364,712","1,307","97,351",한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹"
돈,2019.3.20,28870244062.0,"3,389,125","1,431","120,809",한국,(주)쇼박스
신의 한 수,2014.7.3,28812027456.0,"3,566,852",794,"77,109",한국,(주)쇼박스
토이 스토리 4,2019.6.20,28758452040.0,"3,400,034","1,336","85,875",미국,월트디즈니컴퍼니코리아 유한책임회사
인턴,2015.9.24,28517727148.0,"3,610,564",659,"81,552",미국,워너브러더스 코리아(주)
박수건달,2013.1.9,28343986569.0,"3,893,216",603,"60,585",한국,(주)쇼박스
코코,2018.1.11,27685479440.0,"3,510,017","1,177","85,925",미국,월트디즈니컴퍼니코리아 유한책임회사
데드풀,2016.2.17,27595618651.0,"3,317,196","1,036","82,521",미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
그것만이 내 세상,2018.1.17,27450805382.0,"3,419,339",956,"95,431",한국,(주)씨제이이엔엠
맨 인 블랙 3,2012.5.24,27301520070.0,"3,379,762",770,"69,538",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
캐리비안의 해적: 낯선 조류,2011.5.19,27279967500.0,"3,130,046",960,"67,036",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
귀향,2016.2.24,27249738990.0,"3,587,173",876,"90,286",한국,(주)와우픽쳐스
마녀,2018.6.27,27242029463.0,"3,189,091","1,117","90,843",한국,워너브러더스 코리아(주)
