영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사
앨빈과 슈퍼밴드2,2009.12.30,"3,411,479,000","511,322",244,"14,053",미국,이십세기폭스코리아(주)
소셜 네트워크,2010.11.18,"3,744,100,000","509,177",310,"18,695",미국,"워터홀컴퍼니(주),한국소니픽쳐스릴리징브에나비스타영화㈜"
피라냐,2010.8.26,"5,661,671,000","505,836",310,"22,744",미국,에스케이텔레콤(주)
먹고 기도하고 사랑하라,2010.9.30,"3,674,965,000","500,266",324,"22,299",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
불량남녀,2010.11.4,"3,562,190,000","483,387",338,"24,441",한국,(주)쇼박스
레드,2010.11.3,"3,550,436,000","482,053",317,"22,481",미국,(주)화앤담이엔티
친정엄마,2010.4.22,"3,321,091,000","472,009",275,"24,994",한국,(주)싸이더스
식객2 : 김치전쟁,2010.1.28,"3,243,969,500","462,714",347,"22,753",한국,롯데쇼핑㈜롯데엔터테인먼트
적인걸: 측천무후의 비밀,2010.10.6,"3,342,474,000","459,876",292,"23,640",중국,롯데쇼핑㈜롯데엔터테인먼트
언스토퍼블,2010.11.10,"3,273,318,500","452,320",297,"21,495",미국,이십세기폭스코리아(주)
대한민국 1%,2010.5.5,"2,244,690,500","440,372",286,"20,352",한국,롯데쇼핑㈜롯데엔터테인먼트
파라노말 액티비티,2010.1.13,"3,207,923,500","438,402",184,"17,015",미국,(주)넥스트엔터테인먼트월드(NEW)
워리어스 웨이,2010.12.1,"3,097,461,500","432,072",433,"23,127",미국,에스케이텔레콤(주)
섹스 앤 더 시티 2,2010.6.10,"3,022,970,000","398,347",233,"14,265",미국,워너브러더스 코리아(주)
나인,2009.12.31,"3,046,461,500","397,889",336,"16,466",미국,(주)시너지하우스 (시너지)
아스트로 보이-아톰의 귀환,2010.1.13,"2,585,585,500","393,433",278,"15,793",미국,㈜케이디미디어
익스펜더블,2010.8.19,"2,973,224,000","390,438",259,"15,798",미국,(주)싸이더스
공자 춘추전국시대,2010.2.11,"2,774,370,000","371,607",236,"15,346",중국,(주)시너지하우스 (시너지)
프롬 파리 위드 러브,2010.3.11,"2,804,967,500","369,394",294,"22,348",프랑스,㈜케이디미디어
파라노말 액티비티 2,2010.10.21,"2,575,677,000","358,453",196,"13,647",미국,CJ ENM
블라인드 사이드,2010.4.15,"2,613,051,000","355,516",129,"12,717",미국,워너브러더스 코리아(주)
맨발의 꿈,2010.6.24,"2,372,787,500","331,945",332,"17,790",한국,(주)쇼박스
킬러스,2010.9.2,"2,386,700,000","322,888",282,"17,930",미국,(주)넥스트엔터테인먼트월드(NEW)
검우강호,2010.10.14,"2,242,810,500","312,283",344,"20,571",홍콩,(주)에스비에스콘텐츠허브
가디언의 전설,2010.10.28,"2,613,934,200","302,318",267,"14,421",미국,워너브러더스 코리아(주)
베스트 키드,2010.6.10,"2,031,914,500","287,278",252,"13,464",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
프레데터스,2010.8.26,"1,991,492,500","276,536",231,"14,168",미국,이십세기폭스코리아(주)
울프맨,2010.2.11,"2,062,933,500","265,409",263,"13,920",미국,유니버설픽쳐스인터내셔널 코리아(유)
"울지마, 톤즈",2010.9.9,"1,439,624,500","260,998",73,"8,039",한국,주식회사 마운틴픽쳐스
극장판 도라에몽: 진구의 인어대해전,2010.7.28,"1,741,701,000","260,701",140,"5,639",일본,CJ ENM
월 스트리트: 머니 네버 슬립스,2010.10.21,"1,760,899,000","241,438",288,"14,013",미국,이십세기폭스코리아(주)
극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,2010.12.23,"1,631,689,000","234,093",139,"4,502",일본,씨제이 씨지브이(CJ CGV)(주)
사랑은 너무 복잡해,2010.3.11,"1,741,752,000","234,083",180,"12,117",미국,유니버설픽쳐스인터내셔널 코리아(유)
트랜스포머 3,2011.6.29,"74,840,681,500","7,784,743","1,409","124,450",미국,(주)씨제이이엔엠
최종병기 활,2011.8.10,"55,827,861,500","7,470,633",615,"130,054",한국,롯데쇼핑㈜롯데엔터테인먼트
써니,2011.5.4,"54,035,565,100","7,362,657",546,"149,135",한국,(주)씨제이이엔엠
완득이,2011.10.20,"38,526,161,500","5,309,928",629,"117,763",한국,(주)씨제이이엔엠
쿵푸팬더 2,2011.5.26,"44,298,708,500","5,062,720",948,"101,338",미국,(주)씨제이이엔엠
미션임파서블:고스트프로토콜,2011.12.15,"37,765,048,000","4,975,161","1,024","61,251",미국,(주)씨제이이엔엠
조선명탐정 : 각시투구꽃의 비밀,2011.1.27,"35,841,769,500","4,786,259",634,"84,189",한국,(주)쇼박스
도가니,2011.9.22,"35,566,854,800","4,662,822",756,"88,337",한국,(주)씨제이이엔엠
해리포터와 죽음의 성물2,2011.7.13,"34,507,600,000","4,400,270",757,"70,380",미국,워너브러더스 코리아(주)
리얼 스틸,2011.10.12,"26,566,677,000","3,579,666",603,"87,650",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
캐리비안의 해적: 낯선 조류,2011.5.19,"27,279,967,500","3,130,046",960,"67,036",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
퀵,2011.7.20,"22,960,890,000","3,125,069",514,"60,714",한국,(주)씨제이이엔엠
고지전,2011.7.20,"21,968,557,600","2,945,137",585,"53,738",한국,(주)쇼박스
오싹한 연애,2011.12.1,"20,289,813,500","2,777,998",544,"54,630",한국,(주)씨제이이엔엠
혹성탈출: 진화의 시작,2011.8.17,"20,629,757,000","2,773,794",514,"61,229",미국,이십세기폭스코리아(주)
위험한 상견례,2011.3.31,"19,174,920,500","2,595,625",524,"75,068",한국,롯데쇼핑㈜롯데엔터테인먼트
엑스맨: 퍼스트 클래스,2011.6.2,"19,075,363,000","2,533,852",587,"56,827",미국,이십세기폭스코리아(주)
의뢰인,2011.9.29,"17,797,042,500","2,393,086",522,"58,414",한국,(주)쇼박스
가문의 영광4 - 가문의 수난,2011.9.7,"17,792,219,500","2,368,267",537,"48,432",한국,(주)넥스트엔터테인먼트월드(NEW)
