영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사
스타트렉 비욘드,2016.8.17,"10,190,375,820","1,157,156",716,"38,199",미국,롯데쇼핑㈜롯데엔터테인먼트
미씽: 사라진 여자,2016.11.30,"8,881,616,256","1,153,109",790,"40,617",한국,메가박스중앙(주)플러스엠
"당신, 거기 있어줄래요",2016.12.14,"8,999,085,248","1,124,815",767,"39,181",한국,롯데쇼핑㈜롯데엔터테인먼트
라이트 아웃,2016.8.24,"8,893,059,975","1,111,284",659,"34,444",미국,워너브러더스 코리아(주)
오빠생각,2016.1.21,"8,060,591,287","1,069,864",855,"44,801",한국,(주)넥스트엔터테인먼트월드(NEW)
"날, 보러와요",2016.4.7,"8,836,144,063","1,063,442",683,"49,237",한국,메가박스중앙(주)플러스엠
씽,2016.12.21,"8,203,857,789","1,063,175",795,"19,645",미국,유니버설픽쳐스인터내셔널 코리아(유)
맨 인 더 다크,2016.10.5,"8,480,368,672","1,003,406",671,"40,136",미국,유니버설픽쳐스인터내셔널 코리아(유)
"고산자, 대동여지도",2016.9.7,"7,801,007,258","974,262",765,"38,048",한국,(주)씨제이이엔엠
미 비포 유,2016.6.1,"7,663,772,990","945,172",481,"28,458",미국,워너브러더스 코리아(주)
매그니피센트 7,2016.9.14,"7,633,490,421","921,317",579,"27,648",미국,유니버설픽쳐스인터내셔널 코리아(유)
갓 오브 이집트,2016.3.3,"7,621,291,624","919,834",618,"35,323",미국,"(주)시네마서비스,(주)나이너스엔터테인먼트"
레전드 오브 타잔,2016.6.29,"7,196,970,717","858,402",593,"28,021",미국,워너브러더스 코리아(주)
좋아해줘,2016.2.17,"6,572,774,337","848,148",637,"27,125",한국,(주)씨제이이엔엠
브리짓 존스의 베이비,2016.9.28,"6,678,585,874","820,995",509,"30,736",미국,유니버설픽쳐스인터내셔널 코리아(유)
스플릿,2016.11.9,"6,102,712,539","758,195",702,"32,616",한국,오퍼스픽쳐스(유)
런던 해즈 폴른,2016.3.10,"5,908,367,979","731,584",526,"37,569",미국,메가박스중앙(주)플러스엠
국가대표 2,2016.8.10,"5,482,232,042","709,929",562,"20,689",한국,메가박스중앙(주)플러스엠
인페르노,2016.10.19,"5,656,281,303","689,071",754,"31,809",미국,유니버설픽쳐스인터내셔널 코리아(유)
앵그리버드 더 무비,2016.5.19,"5,218,111,744","680,606",661,"15,812",미국,유니버설픽쳐스인터내셔널 코리아(유)
그날의 분위기,2016.1.14,"5,149,571,612","653,287",592,"27,186",한국,(주)쇼박스
사냥,2016.6.29,"4,912,658,515","645,922",696,"28,862",한국,롯데쇼핑㈜롯데엔터테인먼트
널 기다리며,2016.3.10,"5,234,303,336","635,235",551,"33,774",한국,(주)넥스트엔터테인먼트월드(NEW)
설리: 허드슨강의 기적,2016.9.28,"5,234,170,754","627,102",573,"26,609",미국,워너브러더스 코리아(주)
잭 리처: 네버 고 백,2016.11.30,"4,638,072,258","611,097",667,"23,659",미국,롯데쇼핑㈜롯데엔터테인먼트
로그 원: 스타워즈 스토리,2016.12.28,"5,127,537,094","596,487",907,"15,441",미국,월트디즈니컴퍼니코리아 유한책임회사
싱 스트리트,2016.5.19,"4,489,637,672","560,790",494,"22,825",아일랜드,(주)이수C&E
아이스 에이지: 지구 대충돌,2016.7.20,"4,092,484,600","553,760",580,"13,018",미국,이십세기폭스코리아(주)
몬스터 호텔 2,2015.12.24,"4,059,258,691","552,334",637,"13,162",미국,유니버설픽쳐스인터내셔널 코리아(유)
메카닉: 리크루트,2016.8.31,"4,458,200,800","551,897",320,"17,497",미국,(주)제이앤씨미디어그룹
고스트버스터즈,2016.8.25,"4,116,570,075","515,553",511,"18,026",미국,유니버설픽쳐스인터내셔널 코리아(유)
거울나라의 앨리스,2016.9.7,"4,145,733,267","513,202",515,"19,585",미국,월트디즈니컴퍼니코리아(주)
가려진 시간,2016.11.16,"3,946,462,400","510,878",884,"30,404",한국,(주)쇼박스
명탐정 코난: 순흑의 악몽,2016.8.3,"3,766,157,500","508,869",447,"7,983",일본,(주)씨제이이엔엠
해어화,2016.4.13,"3,768,200,759","485,695",572,"32,322",한국,롯데쇼핑㈜롯데엔터테인먼트
계춘할망,2016.5.19,"3,600,794,348","482,516",526,"19,644",한국,(주)콘텐츠 난다긴다
"로봇, 소리",2016.1.27,"3,519,595,560","476,665",609,"25,502",한국,롯데쇼핑㈜롯데엔터테인먼트
스타워즈: 깨어난 포스,2015.12.17,"4,204,317,791","470,645",552,"12,801",미국,월트디즈니컴퍼니코리아(주)
빅쇼트,2016.1.21,"3,622,652,707","446,712",489,"17,316",미국,롯데쇼핑㈜롯데엔터테인먼트
헌츠맨: 윈터스 워,2016.4.13,"3,544,262,706","445,009",557,"25,789",미국,유니버설픽쳐스인터내셔널 코리아(유)
나를 잊지 말아요,2016.1.7,"3,398,915,000","425,799",559,"19,138",한국,(주)씨제이이엔엠
나의 소녀시대,2016.5.12,"3,314,491,150","409,537",201,"12,404",대만,오드
조선마술사,2015.12.30,"3,143,566,733","403,919",608,"13,708",한국,롯데쇼핑㈜롯데엔터테인먼트
언더 워터,2016.7.13,"3,111,772,391","384,789",518,"13,058",미국,유니버설픽쳐스인터내셔널 코리아(유)
클로버필드 10번지,2016.4.7,"2,928,428,655","357,736",575,"24,680",미국,롯데쇼핑㈜롯데엔터테인먼트
위자: 저주의 시작,2016.11.9,"2,637,517,406","331,877",467,"15,660",미국,유니버설픽쳐스인터내셔널 코리아(유)
극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016.7.20,"2,467,275,080","330,725",403,"6,607",일본,(주)씨제이이엔엠
아기배달부 스토크,2016.12.7,"2,436,955,700","322,354",538,"9,388",미국,워너브러더스 코리아(주)
캐롤,2016.2.4,"2,645,756,616","319,357",288,"11,092",미국,CGV아트하우스
위대한 소원,2016.4.21,"2,440,004,213","308,398",524,"22,769",한국,(주)넥스트엔터테인먼트월드(NEW)
스포트라이트,2016.2.24,"2,402,036,255","299,878",320,"13,482",미국,(주)팝엔터테인먼트
구스범스,2016.1.14,"2,221,639,712","297,356",515,"13,477",미국,유니버설픽쳐스인터내셔널 코리아(유)
포인트 브레이크,2016.1.7,"2,323,707,051","294,320",409,"12,111",미국,"(주)시네마서비스,(주)나이너스엔터테인먼트"
앨빈과 슈퍼밴드: 악동 어드벤처,2016.2.4,"2,125,772,200","292,495",380,"8,917",미국,이십세기폭스코리아(주)
혼숨,2016.10.26,"2,258,422,445","288,016",498,"14,510",한국,(주)프레인글로벌
